Unnamed: 0,username,comicID,rating
15537,LeSeNoK,618,5.0
53992,PLOTsenpai,25297,4.0
49748,Saulenger,21729,3.0
11071,ana21,320,4.0
67458,gaara-hime,69903,5.0
4431,Silver_Kirin,17,5.0
47582,jepfri003,18019,5.0
55446,MasterwolfEX,27989,4.0
34982,gryupus,5911,4.0
2863,JohnGaltMG,12,3.0
45298,mushuzz,14739,4.0
59143,Bonishka1,35573,4.0
65881,Lemonfren,57765,4.0
28566,Gracce,3554,5.0
25413,xoxl,2686,4.0
5723,mastertek,24,4.0
75809,Mullerio,110737,3.0
15200,GussEber,614,5.0
66397,DannyTheDonkey,62887,3.0
70305,YumioSF,85968,4.0
59986,areumsonge,37641,5.0
36517,msarkar98,7627,4.0
21075,Stolas,1250,4.0
2229,KaitonPT,11,2.0
58237,Quodcoles,33327,3.0
70213,Kyosai,85173,3.0
50909,Moklyop,23390,5.0
6117,Dierga,25,4.0
55249,Illicit_Fairs,27231,3.0
52020,Tomate-Kun,24457,5.0
9249,Thelas,81,4.0
63779,purgatorio,49361,5.0
75374,SonicHack,108407,4.0
41304,XDKeriDX,12245,5.0
60785,truji,39883,4.0
38600,Lolli_,9296,5.0
10871,star_lit,165,4.0
38394,BloodyFate,8967,5.0
37872,HaineChan,8456,5.0
2477,Mr_Sakata,11,3.0
34793,Amatsuki,5686,5.0
48433,KaitonPT,20242,3.0
32243,cocoapuffs,4392,3.0
70117,Apey_,85173,4.0
36091,Aerxya,7519,3.0
58008,niks1991911,33327,5.0
49006,cynicalCobbler,21077,4.0
55147,Ashi_lover,27231,5.0
17610,Grando_,677,4.0
54181,Jasulan,25810,4.0
24930,lilyblossom2,2149,5.0
7756,Sleepye,42,5.0
15022,Afro_Typical,610,5.0
62856,Lefty112,45757,4.0
42226,Yoshimori_168,12629,4.0
13903,Kanekas,591,4.0
37462,somniate,8340,4.0
14330,Chokko,598,2.0
43933,AutumnHues,13748,4.0
46292,Kurai-Yume,16794,1.0
70391,faranzylve,86337,5.0
65406,MrTalq,56805,4.0
21960,Chronowarp,1376,4.0
33201,Wistaire,5095,3.0
70065,zwype,83021,4.0
67004,Tor4,67019,3.0
71024,Demonarion,88660,3.0
69595,k4fourteen,78943,3.0
8146,Arthuro-Ray,50,3.0
58284,getchu,33327,4.0
63678,Bot1nHere,48881,4.0
70014,rainasu,83021,4.0
56842,xacthashtag,30315,3.0
11230,Karlboose,336,5.0
48793,Skoll98,20593,3.0
58127,Aplozia,33327,4.0
14342,Bangtangarang,598,4.0
42492,Noto0803,12888,5.0
44992,Valkata,14531,5.0
58664,-Yami,35003,5.0
29554,JonasanJosuta,3645,3.0
44645,Kaz95,14440,5.0
66431,ys19931006,62887,3.0
7950,AmeriLA,44,4.0
65641,Kainser2045,57015,4.0
15093,Makami-tsu,610,4.0
67884,Potatoboy27,70259,5.0
49996,rq_ronald,22044,5.0
2747,midnight_0805094,12,5.0
24990,Shuidee,2335,4.0
41244,63yen,11896,4.0
59039,xbadboyzx,35573,4.0
59245,Lacein,35573,4.0
48227,Touka13,19007,5.0
3602,Diegololen,13,4.0
62957,Evit,46282,5.0
22767,darknees79,1474,4.0
43758,marmondesu,13702,5.0
77204,Qether,121496,5.0
31418,-asphyxia-,3992,4.0
22658,Bacchi-gu,1456,5.0
6384,RageKirihara,25,5.0
68343,Kyosai,70941,4.0
34352,Nibchan,5394,4.0
68451,jackanarchy,72007,3.0
54351,somebodylikeme,26324,4.0
7991,FuLiiX,44,4.0
72387,anggitoz,96528,4.0
61962,haryov,44155,4.0
15553,iaimanga,618,4.0
19281,myopass,933,4.0
8633,Numi,57,5.0
66251,Moklyop,62887,4.0
4999,mzpasaway13,21,5.0
14345,Sc1encuS,598,4.0
75886,Plokiju297,112268,4.0
76875,28tDm,119161,4.0
17159,TheRealSanji,664,5.0
60806,jimanator,39883,4.0
54873,hayka,26769,4.0
66925,the_paulos,67019,5.0
2275,-_Mahesvara_-,11,5.0
46551,_chitanda,17353,5.0
64791,Dasdsadzxczx,55163,4.0
55445,LucarioDude,27989,4.0
73059,xDark_Ghoul,99007,4.0
42650,Mitsume,13171,5.0
43829,Spade_King,13748,4.0
74117,Jevasamy,103701,5.0
67372,-Nakahara,67645,3.0
5114,Aura-,21,4.0
43240,StormHunter,13492,5.0
72983,Pito9,98938,2.0
24605,Zmey,2117,4.0
869,Nameless_Monster,3,5.0
24250,mastertek,1908,3.0
16379,Reactive,648,4.0
6106,Yoda87,25,5.0
60925,Backha,41733,4.0
29847,Moklyop,3731,5.0
66999,haryov,67019,3.0
53182,Reen-Chan,25081,5.0
45506,Kelsifer,14790,4.0
72450,TheDiabolicEsper,96528,3.0
24148,Caschan16,1859,5.0
43995,Nadrel,13801,3.0
70933,JokerVentura,87866,3.0
13697,GoodLoserM,584,4.0
52928,OnePurpose,24836,5.0
19032,Arazial,933,3.0
55800,SonMati,28533,3.0
14512,Sayohh,598,4.0
24221,akika,1908,4.0
726,Laplacian,3,4.0
14555,Knighto16,598,3.0
7700,beyondultra,42,3.0
41166,Zetsushige,11896,4.0
21666,dbfuentes,1349,4.0
9713,Nagatotoro,92,4.0
45984,belalinda,16031,3.0
3828,InnocentNyuu,14,4.0
48122,Femuwu,18792,5.0
23951,o0SeLin0o,1802,5.0
40423,hayka,11652,4.0
28360,hlaxkar,3468,5.0
38284,LeSeNoK,8967,4.0
22671,Anathor,1456,4.0
15893,HugTheBunny,633,4.0
75175,Sardinemaster,108197,4.0
43371,Ashi_lover,13492,4.0
62097,LLHayate-Kun,44485,5.0
50098,unCoVered,22046,2.0
57124,allenjke,31499,3.0
70467,darkfeatherX,86337,4.0
68651,VanAlex,75989,3.0
15187,rabidinfection,614,3.0
74264,CelestialGreen,103851,4.0
67414,mouna-chan,67645,4.0
21829,crestofhonesty,1373,4.0
22999,Gokaired,1517,4.0
38264,Backha,8967,4.0
75942,allenjke,112589,3.0
63169,Ketish,46646,4.0
3740,Kusanagi_VT,13,4.0
71397,Plokiju297,90125,5.0
36771,Himawari-hime,7749,2.0
56042,soohye,28825,4.0
64671,AsunarisX,54897,4.0
8756,Mikari_sora,57,4.0
12697,MartinRodriguez,436,3.0
62943,BaronBadass,46282,4.0
75438,Smapo,108461,2.0
47078,SophiaKarTez,17596,5.0
20510,StormKing786,1162,4.0
18367,Dzakuro,768,5.0
61581,TwinSoul,42545,4.0
3801,Kanade-chan,14,4.0
41584,Backha,12451,4.0
31169,anggitoz,3986,4.0
54056,NotJustJuice2,25297,4.0
63951,RyuuNokaru,49865,4.0
9620,purgatorio,92,4.0
13405,Reactive,584,4.0
24007,ani147,1802,3.0
32831,Anathor,4608,4.0
52713,sebastiancqn,24705,4.0
56627,Demonarion,30079,5.0
47904,DeepO9,18597,4.0
35956,zeppy010,7519,4.0
1378,DeathSmiles,8,4.0
9153,Satori,81,3.0
21736,astaroth_01,1349,4.0
13434,KotyaV,584,3.0
66301,Kmale0n,62887,5.0
6355,YoiteAoyagi,25,4.0
46501,Tounis,17353,4.0
33084,PolyphemusTC,4632,5.0
6642,XDKeriDX,30,5.0
51569,Kandi_Kit,24294,4.0
23853,kidas,1802,5.0
16841,Nuage,656,5.0
47106,suzuran_lily,17596,4.0
9472,Romario3210,85,3.0
36935,mika_88,8042,5.0
21200,Generationkilla0,1257,4.0
42832,BakaAkisa,13194,5.0
9183,Karpaasi,81,5.0
65022,Nibchan,56805,4.0
29143,rjimenez,3633,4.0
1370,AndieLanceKey,8,5.0
21144,Johanathann,1257,4.0
38457,PudimMafioso,8967,4.0
36672,Gokaired,7631,4.0
68400,Bangtangarang,72007,4.0
54369,isuzusan,26324,4.0
44534,rachel3,14265,4.0
24027,yemos,1802,4.0
77293,Kaz95,122663,5.0
28311,Knightdemon272,3468,5.0
24229,Sakurei,1908,3.0
40167,little-geisha,11646,5.0
10111,Clairparfait,107,5.0
74058,Ferchase,103701,5.0
51670,BeautifulDeath,24294,5.0
52459,MatchaCroissant,24692,5.0
3849,lilyblossom2,14,5.0
11375,Xsaderman,336,3.0
22669,AgentLF,1456,4.0
55160,akanishi_s,27231,4.0
16247,kymochi,642,5.0
231,ManWild,1,4.0
72160,BeBeYODA69,95210,3.0
55683,CitronVert,28361,3.0
27543,Tsukiaki,3258,5.0
14953,ChattyIntrovert,610,5.0
70914,dedwood,87866,4.0
23304,djwhack03,1630,5.0
63477,taniafh,48347,4.0
65766,King_of_Salt,57239,4.0
46621,me_here_me_there,17353,4.0
68001,8man_1,70345,5.0
24676,clalala,2117,4.0
1343,blazergirl,8,4.0
41787,mzpasaway13,12554,4.0
31281,TalkingHead00,3986,3.0
46375,Myloxeth,16794,4.0
18053,THE_SAMO,745,5.0
14242,Moklyop,598,3.0
23474,Kamilek,1630,5.0
19319,Ughgetatan,958,2.0
19191,Bidgey,933,2.0
57578,AutumnHues,32779,4.0
46171,QueenMyssie477,16765,5.0
